scriptureId,scriptureIndex,scriptureTestament,scriptureBook,scriptureVerse,scriptureText
47,47,0,Matt,2022,"But when he heard that Archelaus was reigning over Judea instead of his father Herod, he was afraid to go there. And being warned by God in a dream, he turned aside into the region of Galilee."
48,48,0,Matt,2023,"And he came and dwelt in a city called Nazareth, that it might be fulfilled which was spoken by the prophets, &ldquo;He shall be called a Nazarene.&rdquo;"
49,49,0,Matt,3001,"In those days John the Baptist came preaching in the wilderness of Judea,"
50,50,0,Matt,3002,"and saying, &ldquo;Repent, for the kingdom of heaven is at hand!&rdquo;"
51,51,0,Matt,3003,"For this is he who was spoken of by the prophet Isaiah, saying: &ldquo;The voice of one crying in the wilderness: &lsquo;Prepare the way of the LORD; make His paths straight.&rsquo;&rdquo; "
52,52,0,Matt,3004,"Now John himself was clothed in camel&rsquo;s hair, with a leather belt around his waist; and his food was locusts and wild honey."
53,53,0,Matt,3005,"Then Jerusalem, all Judea, and all the region around the Jordan went out to him"
54,54,0,Matt,3006,"and were baptized by him in the Jordan, confessing their sins."
55,55,0,Matt,3007,"But when he saw many of the Pharisees and Sadducees coming to his baptism, he said to them, &ldquo;Brood of vipers! Who warned you to flee from the wrath to come?"
56,56,0,Matt,3008,"Therefore bear fruits worthy of repentance,"
57,57,0,Matt,3009,"and do not think to say to yourselves, &lsquo;We have Abraham as our father.&rsquo; For I say to you that God is able to raise up children to Abraham from these stones."
58,58,0,Matt,3010,And even now the ax is laid to the root of the trees. Therefore every tree which does not bear good fruit is cut down and thrown into the fire.
59,59,0,Matt,3011,"I indeed baptize you with water unto repentance, but He who is coming after me is mightier than I, whose sandals I am not worthy to carry. He will baptize you with the Holy Spirit and fire. "
60,60,0,Matt,3012,"His winnowing fan is in His hand, and He will thoroughly clean out His threshing floor, and gather His wheat into the barn; but He will burn up the chaff with unquenchable fire.&rdquo;"
61,61,0,Matt,3013,Then Jesus came from Galilee to John at the Jordan to be baptized by him.
62,62,0,Matt,3014,"And John tried to prevent Him, saying, &ldquo;I need to be baptized by You, and are You coming to me?&rdquo;"
63,63,0,Matt,3015,"But Jesus answered and said to him, &ldquo;Permit it to be so now, for thus it is fitting for us to fulfill all righteousness.&rdquo; Then he allowed Him."
64,64,0,Matt,3016,"When He had been baptized, Jesus came up immediately from the water; and behold, the heavens were opened to Him, and He saw the Spirit of God descending like a dove and alighting upon Him."
65,65,0,Matt,3017,"And suddenly a voice came from heaven, saying, &ldquo;This is My beloved Son, in whom I am well pleased.&rdquo;"
66,66,0,Matt,4001,Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil.
67,67,0,Matt,4002,"And when He had fasted forty days and forty nights, afterward He was hungry."
68,68,0,Matt,4003,"Now when the tempter came to Him, he said, &ldquo;If You are the Son of God, command that these stones become bread.&rdquo;"
69,69,0,Matt,4004,"But He answered and said, &ldquo;It is written, &lsquo;Man shall not live by bread alone, but by every word that proceeds from the mouth of God.&rsquo;&rdquo; "
70,70,0,Matt,4005,"Then the devil took Him up into the holy city, set Him on the pinnacle of the temple,"
71,71,0,Matt,4006,"and said to Him, &ldquo;If You are the Son of God, throw Yourself down. For it is written: &lsquo;He shall give His angels charge over you,&rsquo; and, &lsquo;In their hands they shall bear you up, Lest you dash your foot against a stone.&rsquo;&rdquo; "
72,72,0,Matt,4007,"Jesus said to him, &ldquo;It is written again, &lsquo;You shall not tempt the LORD your God.&rsquo;&rdquo; "
73,73,0,Matt,4008,"Again, the devil took Him up on an exceedingly high mountain, and showed Him all the kingdoms of the world and their glory."
74,74,0,Matt,4009,"And he said to Him, &ldquo;All these things I will give You if You will fall down and worship me.&rdquo;"
75,75,0,Matt,4010,"Then Jesus said to him, &ldquo;Away with you, Satan! For it is written, &lsquo;You shall worship the LORD your God, and Him only you shall serve.&rsquo;&rdquo; "
76,76,0,Matt,4011,"Then the devil left Him, and behold, angels came and ministered to Him."
77,77,0,Matt,4012,"Now when Jesus heard that John had been put in prison, He departed to Galilee."
78,78,0,Matt,4013,"And leaving Nazareth, He came and dwelt in Capernaum, which is by the sea, in the regions of Zebulun and Naphtali,"
79,79,0,Matt,4014,"that it might be fulfilled which was spoken by Isaiah the prophet, saying:"
80,80,0,Matt,4015,"&ldquo;The land of Zebulun and the land of Naphtali, by the way of the sea, beyond the Jordan, Galilee of the Gentiles:"
81,81,0,Matt,4016,"The people who sat in darkness have seen a great light, and upon those who sat in the region and shadow of death Light has dawned.&rdquo; "
82,82,0,Matt,4017,"From that time Jesus began to preach and to say, &ldquo;Repent, for the kingdom of heaven is at hand.&rdquo;"
83,83,0,Matt,4018,"And Jesus, walking by the Sea of Galilee, saw two brothers, Simon called Peter, and Andrew his brother, casting a net into the sea; for they were fishermen."
84,84,0,Matt,4019,"Then He said to them, &ldquo;Follow Me, and I will make you fishers of men.&rdquo;"
85,85,0,Matt,4020,They immediately left their nets and followed Him.
86,86,0,Matt,4021,"Going on from there, He saw two other brothers, James the son of Zebedee, and John his brother, in the boat with Zebedee their father, mending their nets. He called them,"
87,87,0,Matt,4022,"and immediately they left the boat and their father, and followed Him."
88,88,0,Matt,4023,"And Jesus went about all Galilee, teaching in their synagogues, preaching the gospel of the kingdom, and healing all kinds of sickness and all kinds of disease among the people."
89,89,0,Matt,4024,"Then His fame went throughout all Syria; and they brought to Him all sick people who were afflicted with various diseases and torments, and those who were demon-possessed, epileptics, and paralytics; and He healed them."
90,90,0,Matt,4025,"Great multitudes followed Him &ndash; from Galilee, and from Decapolis, Jerusalem, Judea, and beyond the Jordan."
91,91,0,Matt,5001,"And seeing the multitudes, He went up on a mountain, and when He was seated His disciples came to Him."
92,92,0,Matt,5002,"Then He opened His mouth and taught them, saying:"
93,93,0,Matt,5003,"&ldquo;Blessed are the poor in spirit, for theirs is the kingdom of heaven."
94,94,0,Matt,5004,"Blessed are those who mourn, for they shall be comforted."
95,95,0,Matt,5005,"Blessed are the meek, for they shall inherit the earth."
96,96,0,Matt,5006,"Blessed are those who hunger and thirst for righteousness, for they shall be filled."
97,97,0,Matt,5007,"Blessed are the merciful, for they shall obtain mercy."
98,98,0,Matt,5008,"Blessed are the pure in heart, for they shall see God."
99,99,0,Matt,5009,"Blessed are the peacemakers, for they shall be called sons of God."
100,100,0,Matt,5010,"Blessed are those who are persecuted for righteousness&rsquo; sake, for theirs is the kingdom of heaven."
101,101,0,Matt,5011,"Blessed are you when they revile and persecute you, and say all kinds of evil against you falsely for My sake."
102,102,0,Matt,5012,"Rejoice and be exceedingly glad, for great is your reward in heaven, for so they persecuted the prophets who were before you."
103,103,0,Matt,5013,"You are the salt of the earth; but if the salt loses its flavor, how shall it be seasoned? It is then good for nothing but to be thrown out and trampled underfoot by men."
104,104,0,Matt,5014,You are the light of the world. A city that is set on a hill cannot be hidden.
105,105,0,Matt,5015,"Nor do they light a lamp and put it under a basket, but on a lampstand, and it gives light to all who are in the house."
106,106,0,Matt,5016,"Let your light so shine before men, that they may see your good works and glorify your Father in heaven."
107,107,0,Matt,5017,Do not think that I came to destroy the Law or the Prophets. I did not come to destroy but to fulfill.
108,108,0,Matt,5018,"For assuredly, I say to you, till heaven and earth pass away, one jot or one tittle will by no means pass from the law till all is fulfilled."
109,109,0,Matt,5019,"Whoever therefore breaks one of the least of these commandments, and teaches men so, shall be called least in the kingdom of heaven; but whoever does and teaches them, he shall be called great in the kingdom of heaven."
110,110,0,Matt,5020,"For I say to you, that unless your righteousness exceeds the righteousness of the scribes and Pharisees, you will by no means enter the kingdom of heaven."
111,111,0,Matt,5021,"You have heard that it was said to those of old, &lsquo;You shall not murder, and whoever murders will be in danger of the judgment.&rsquo;"
112,112,0,Matt,5022,"But I say to you that whoever is angry with his brother without a cause shall be in danger of the judgment. And whoever says to his brother, &lsquo;Raca!&rsquo; shall be in danger of the council. But whoever says, &lsquo;You fool!&rsquo; shall be in danger of hell fire."
113,113,0,Matt,5023,"Therefore if you bring your gift to the altar, and there remember that your brother has something against you,"
114,114,0,Matt,5024,"leave your gift there before the altar, and go your way. First be reconciled to your brother, and then come and offer your gift."
115,115,0,Matt,5025,"Agree with your adversary quickly, while you are on the way with him, lest your adversary deliver you to the judge, the judge hand you over to the officer, and you be thrown into prison."
116,116,0,Matt,5026,"Assuredly, I say to you, you will by no means get out of there till you have paid the last penny."
117,117,0,Matt,5027,"You have heard that it was said to those of old, &lsquo;You shall not commit adultery.&rsquo; "
118,118,0,Matt,5028,But I say to you that whoever looks at a woman to lust for her has already committed adultery with her in his heart.
119,119,0,Matt,5029,"If your right eye causes you to sin, pluck it out and cast it from you; for it is more profitable for you that one of your members perish, than for your whole body to be cast into hell."
120,120,0,Matt,5030,"And if your right hand causes you to sin, cut it off and cast it from you; for it is more profitable for you that one of your members perish, than for your whole body to be cast into hell."
121,121,0,Matt,5031,"Furthermore it has been said, &lsquo;Whoever divorces his wife, let him give her a certificate of divorce.&rsquo;"
122,122,0,Matt,5032,"But I say to you that whoever divorces his wife for any reason except sexual immorality causes her to commit adultery; and whoever marries a woman who is divorced commits adultery."
123,123,0,Matt,5033,"Again you have heard that it was said to those of old, &lsquo;You shall not swear falsely, but shall perform your oaths to the Lord.&rsquo;"
124,124,0,Matt,5034,"But I say to you, do not swear at all: neither by heaven, for it is God&rsquo;s throne;"
125,125,0,Matt,5035,"nor by the earth, for it is His footstool; nor by Jerusalem, for it is the city of the great King."
126,126,0,Matt,5036,"Nor shall you swear by your head, because you cannot make one hair white or black."
127,127,0,Matt,5037,"But let your &lsquo;Yes&rsquo; be &lsquo;Yes,&rsquo; and your &lsquo;No,&rsquo; &lsquo;No&rsquo;. For whatever is more than these is from the evil one."
128,128,0,Matt,5038,"You have heard that it was said, &lsquo;An eye for an eye and a tooth for a tooth.&rsquo; "
129,129,0,Matt,5039,"But I tell you not to resist an evil person. But whoever slaps you on your right cheek, turn the other to him also."
130,130,0,Matt,5040,"If anyone wants to sue you and take away your tunic, let him have your cloak also."
131,131,0,Matt,5041,"And whoever compels you to go one mile, go with him two."
132,132,0,Matt,5042,"Give to him who asks you, and from him who wants to borrow from you do not turn away."
133,133,0,Matt,5043,"You have heard that it was said, &lsquo;You shall love your neighbor and hate your enemy.&rsquo;"
134,134,0,Matt,5044,"But I say to you, love your enemies, bless those who curse you, do good to those who hate you, and pray for those who spitefully use you and persecute you, "
135,135,0,Matt,5045,"that you may be sons of your Father in heaven; for He makes His sun rise on the evil and on the good, and sends rain on the just and on the unjust."
136,136,0,Matt,5046,"For if you love those who love you, what reward have you? Do not even the tax collectors do the same?"
137,137,0,Matt,5047,"And if you greet your brethren only, what do you do more than others? Do not even the tax collectors do so?"
138,138,0,Matt,5048,"Therefore you shall be perfect, just as your Father in heaven is perfect."
139,139,0,Matt,6001,"Take heed that you do not do your charitable deeds before men, to be seen by them. Otherwise you have no reward from your Father in heaven."
140,140,0,Matt,6002,"Therefore, when you do a charitable deed, do not sound a trumpet before you as the hypocrites do in the synagogues and in the streets, that they may have glory from men. Assuredly, I say to you, they have their reward."
141,141,0,Matt,6003,"But when you do a charitable deed, do not let your left hand know what your right hand is doing,"
142,142,0,Matt,6004,"that your charitable deed may be in secret; and your Father who sees in secret will Himself reward you openly. "
143,143,0,Matt,6005,"And when you pray, you shall not be like the hypocrites. For they love to pray standing in the synagogues and on the corners of the streets, that they may be seen by men. Assuredly, I say to you, they have their reward."
144,144,0,Matt,6006,"But you, when you pray, go into your room, and when you have shut your door, pray to your Father who is in the secret place; and your Father who sees in secret will reward you openly. "
145,145,0,Matt,6007,"And when you pray, do not use vain repetitions as the heathen do. For they think that they will be heard for their many words."
146,146,0,Matt,6008,Therefore do not be like them. For your Father knows the things you have need of before you ask Him.
147,147,0,Matt,6009,"In this manner, therefore, pray: Our Father in heaven, hallowed be Your name."
148,148,0,Matt,6010,Your kingdom come. Your will be done on earth as it is in heaven.
149,149,0,Matt,6011,Give us this day our daily bread.
150,150,0,Matt,6012,"And forgive us our debts, as we forgive our debtors."
151,151,0,Matt,6013,"And do not lead us into temptation, but deliver us from the evil one. For Yours is the kingdom and the power and the glory forever. Amen. "
152,152,0,Matt,6014,"For if you forgive men their trespasses, your heavenly Father will also forgive you."
153,153,0,Matt,6015,"But if you do not forgive men their trespasses, neither will your Father forgive your trespasses."
154,154,0,Matt,6016,"Moreover, when you fast, do not be like the hypocrites, with a sad countenance. For they disfigure their faces that they may appear to men to be fasting. Assuredly, I say to you, they have their reward."
155,155,0,Matt,6017,"But you, when you fast, anoint your head and wash your face,"
156,156,0,Matt,6018,"so that you do not appear to men to be fasting, but to your Father who is in the secret place; and your Father who sees in secret will reward you openly. "
157,157,0,Matt,6019,"Do not lay up for yourselves treasures on earth, where moth and rust destroy and where thieves break in and steal;"
158,158,0,Matt,6020,"but lay up for yourselves treasures in heaven, where neither moth nor rust destroys and where thieves do not break in and steal."
159,159,0,Matt,6021,"For where your treasure is, there your heart will be also."
160,160,0,Matt,6022,"The lamp of the body is the eye. If therefore your eye is good, your whole body will be full of light."
161,161,0,Matt,6023,"But if your eye is bad, your whole body will be full of darkness. If therefore the light that is in you is darkness, how great is that darkness!"
162,162,0,Matt,6024,"No one can serve two masters; for either he will hate the one and love the other, or else he will be loyal to the one and despise the other. You cannot serve God and mammon."
163,163,0,Matt,6025,"Therefore I say to you, do not worry about your life, what you will eat or what you will drink; nor about your body, what you will put on. Is not life more than food and the body more than clothing?"
164,164,0,Matt,6026,"Look at the birds of the air, for they neither sow nor reap nor gather into barns; yet your heavenly Father feeds them. Are you not of more value than they?"
165,165,0,Matt,6027,Which of you by worrying can add one cubit to his stature?
166,166,0,Matt,6028,"So why do you worry about clothing? Consider the lilies of the field, how they grow: they neither toil nor spin;"
167,167,0,Matt,6029,and yet I say to you that even Solomon in all his glory was not arrayed like one of these.
168,168,0,Matt,6030,"Now if God so clothes the grass of the field, which today is, and tomorrow is thrown into the oven, will He not much more clothe you, O you of little faith?"
169,169,0,Matt,6031,"Therefore do not worry, saying, &lsquo;What shall we eat?&rsquo; or &lsquo;What shall we drink?&rsquo; or &lsquo;What shall we wear?&rsquo;"
170,170,0,Matt,6032,For after all these things the Gentiles seek. For your heavenly Father knows that you need all these things.
171,171,0,Matt,6033,"But seek first the kingdom of God and His righteousness, and all these things shall be added to you."
172,172,0,Matt,6034,"Therefore do not worry about tomorrow, for tomorrow will worry about its own things. Sufficient for the day is its own trouble."
173,173,0,Matt,7001,"Judge not, that you be not judged."
174,174,0,Matt,7002,"For with what judgment you judge, you will be judged; and with the measure you use, it will be measured back to you."
175,175,0,Matt,7003,"And why do you look at the speck in your brother&rsquo;s eye, but do not consider the plank in your own eye?"
176,176,0,Matt,7004,"Or how can you say to your brother, &lsquo;Let me remove the speck from your eye&rsquo;; and look, a plank is in your own eye?"
177,177,0,Matt,7005,"Hypocrite! First remove the plank from your own eye, and then you will see clearly to remove the speck from your brother&rsquo;s eye."
178,178,0,Matt,7006,"Do not give what is holy to the dogs; nor cast your pearls before swine, lest they trample them under their feet, and turn and tear you in pieces."
179,179,0,Matt,7007,"Ask, and it will be given to you; seek, and you will find; knock, and it will be opened to you."
180,180,0,Matt,7008,"For everyone who asks receives, and he who seeks finds, and to him who knocks it will be opened."
181,181,0,Matt,7009,"Or what man is there among you who, if his son asks for bread, will give him a stone?"
182,182,0,Matt,7010,"Or if he asks for a fish, will he give him a serpent?"
183,183,0,Matt,7011,"If you then, being evil, know how to give good gifts to your children, how much more will your Father who is in heaven give good things to those who ask Him!"
184,184,0,Matt,7012,"Therefore, whatever you want men to do to you, do also to them, for this is the Law and the Prophets."
185,185,0,Matt,7013,"Enter by the narrow gate; for wide is the gate and broad is the way that leads to destruction, and there are many who go in by it."
186,186,0,Matt,7014,"Because narrow is the gate and difficult is the way which leads to life, and there are few who find it."
187,187,0,Matt,7015,"Beware of false prophets, who come to you in sheep&rsquo;s clothing, but inwardly they are ravenous wolves."
188,188,0,Matt,7016,You will know them by their fruits. Do men gather grapes from thornbushes or figs from thistles?
189,189,0,Matt,7017,"Even so, every good tree bears good fruit, but a bad tree bears bad fruit."
190,190,0,Matt,7018,"A good tree cannot bear bad fruit, nor can a bad tree bear good fruit."
191,191,0,Matt,7019,Every tree that does not bear good fruit is cut down and thrown into the fire.
192,192,0,Matt,7020,Therefore by their fruits you will know them.
193,193,0,Matt,7021,"Not everyone who says to Me, &lsquo;Lord, Lord,&rsquo; shall enter the kingdom of heaven, but he who does the will of My Father in heaven."
194,194,0,Matt,7022,"Many will say to Me in that day, &lsquo;Lord, Lord, have we not prophesied in Your name, cast out demons in Your name, and done many wonders in Your name?&rsquo;"
195,195,0,Matt,7023,"And then I will declare to them, &lsquo;I never knew you; depart from Me, you who practice lawlessness!&rsquo;"
196,196,0,Matt,7024,"Therefore whoever hears these sayings of Mine, and does them, I will liken him to a wise man who built his house on the rock:"
197,197,0,Matt,7025,"and the rain descended, the floods came, and the winds blew and beat on that house; and it did not fall, for it was founded on the rock."
198,198,0,Matt,7026,"But everyone who hears these sayings of Mine, and does not do them, will be like a foolish man who built his house on the sand:"
199,199,0,Matt,7027,"and the rain descended, the floods came, and the winds blew and beat on that house; and it fell. And great was its fall.&rdquo;"
200,200,0,Matt,7028,"And so it was, when Jesus had ended these sayings, that the people were astonished at His teaching,"
201,201,0,Matt,7029,"for He taught them as one having authority, and not as the scribes."
202,202,0,Matt,8001,"When He had come down from the mountain, great multitudes followed Him."
203,203,0,Matt,8002,"And behold, a leper came and worshiped Him, saying, &ldquo;Lord, if You are willing, You can make me clean.&rdquo;"
204,204,0,Matt,8003,"Then Jesus put out His hand and touched him, saying, &ldquo;I am willing; be cleansed.&rdquo; Immediately his leprosy was cleansed."
205,205,0,Matt,8004,"And Jesus said to him, &ldquo;See that you tell no one; but go your way, show yourself to the priest, and offer the gift that Moses commanded, as a testimony to them.&rdquo;"
206,206,0,Matt,8005,"Now when Jesus had entered Capernaum, a centurion came to Him, pleading with Him,"
207,207,0,Matt,8006,"saying, &ldquo;Lord, my servant is lying at home paralyzed, dreadfully tormented.&rdquo;"
208,208,0,Matt,8007,"And Jesus said to him, &ldquo;I will come and heal him.&rdquo;"
209,209,0,Matt,8008,"The centurion answered and said, &ldquo;Lord, I am not worthy that You should come under my roof. But only speak a word, and my servant will be healed."
210,210,0,Matt,8009,"For I also am a man under authority, having soldiers under me. And I say to this one, &lsquo;Go,&rsquo; and he goes; and to another, &lsquo;Come,&rsquo; and he comes; and to my servant, &lsquo;Do this,&rsquo; and he does it.&rdquo;"
211,211,0,Matt,8010,"When Jesus heard it, He marveled, and said to those who followed, &ldquo;Assuredly, I say to you, I have not found such great faith, not even in Israel!"
212,212,0,Matt,8011,"And I say to you that many will come from east and west, and sit down with Abraham, Isaac, and Jacob in the kingdom of heaven."
213,213,0,Matt,8012,"But the sons of the kingdom will be cast out into outer darkness. There will be weeping and gnashing of teeth.&rdquo;"
214,214,0,Matt,8013,"Then Jesus said to the centurion, &ldquo;Go your way; and as you have believed, so let it be done for you.&rdquo; And his servant was healed that same hour."
215,215,0,Matt,8014,"Now when Jesus had come into Peter&rsquo;s house, He saw his wife&rsquo;s mother lying sick with a fever."
216,216,0,Matt,8015,"So He touched her hand, and the fever left her. And she arose and served them. "
217,217,0,Matt,8016,"When evening had come, they brought to Him many who were demon-possessed. And He cast out the spirits with a word, and healed all who were sick,"
218,218,0,Matt,8017,"that it might be fulfilled which was spoken by Isaiah the prophet, saying: &ldquo;He Himself took our infirmities and bore our sicknesses.&rdquo; "
219,219,0,Matt,8018,"And when Jesus saw great multitudes about Him, He gave a command to depart to the other side."
220,220,0,Matt,8019,"Then a certain scribe came and said to Him, &ldquo;Teacher, I will follow You wherever You go.&rdquo;"
221,221,0,Matt,8020,"And Jesus said to him, &ldquo;Foxes have holes and birds of the air have nests, but the Son of Man has nowhere to lay His head.&rdquo;"
222,222,0,Matt,8021,"Then another of His disciples said to Him, &ldquo;Lord, let me first go and bury my father.&rdquo;"
223,223,0,Matt,8022,"But Jesus said to him, &ldquo;Follow Me, and let the dead bury their own dead.&rdquo;"
224,224,0,Matt,8023,"Now when He got into a boat, His disciples followed Him."
225,225,0,Matt,8024,"And suddenly a great tempest arose on the sea, so that the boat was covered with the waves. But He was asleep."
226,226,0,Matt,8025,"Then His disciples came to Him and awoke Him, saying, &ldquo;Lord, save us! We are perishing!&rdquo;"
227,227,0,Matt,8026,"But He said to them, &ldquo;Why are you fearful, O you of little faith?&rdquo; Then He arose and rebuked the winds and the sea, and there was a great calm."
228,228,0,Matt,8027,"So the men marveled, saying, &ldquo;Who can this be, that even the winds and the sea obey Him?&rdquo;"
229,229,0,Matt,8028,"When He had come to the other side, to the country of the Gergesenes, there met Him two demon-possessed men, coming out of the tombs, exceedingly fierce, so that no one could pass that way."
230,230,0,Matt,8029,"And suddenly they cried out, saying, &ldquo;What have we to do with You, Jesus, You Son of God? Have You come here to torment us before the time?&rdquo;"
231,231,0,Matt,8030,Now a good way off from them there was a herd of many swine feeding.
232,232,0,Matt,8031,"So the demons begged Him, saying, &ldquo;If You cast us out, permit us to go away into the herd of swine.&rdquo;"
233,233,0,Matt,8032,"And He said to them, &ldquo;Go.&rdquo; So when they had come out, they went into the herd of swine. And suddenly the whole herd of swine ran violently down the steep place into the sea, and perished in the water."
234,234,0,Matt,8033,"Then those who kept them fled; and they went away into the city and told everything, including what had happened to the demon-possessed men."
235,235,0,Matt,8034,"And behold, the whole city came out to meet Jesus. And when they saw Him, they begged Him to depart from their region."
236,236,0,Matt,9001,"So He got into a boat, crossed over, and came to His own city."
237,237,0,Matt,9002,"Then behold, they brought to Him a paralytic lying on a bed. When Jesus saw their faith, He said to the paralytic, &ldquo;Son, be of good cheer; your sins are forgiven you.&rdquo;"
238,238,0,Matt,9003,"And at once some of the scribes said within themselves, &ldquo;This Man blasphemes!&rdquo;"
239,239,0,Matt,9004,"But Jesus, knowing their thoughts, said, &ldquo;Why do you think evil in your hearts?"
240,240,0,Matt,9005,"For which is easier, to say, &lsquo;Your sins are forgiven you,&rsquo; or to say, &lsquo;Arise and walk&rsquo;?"
